,Original Label,ANGER,LOVE,SADNESS,SURPRISE,JOY,FEAR,Predicted Label
4513,anger,0,0,0,0,0,0,not found
4514,sadness,0.275,0.275,0.277,0.259,0.29,0.275,joy
4515,love,0.235,0.235,0.253,0.235,0.235,0.235,sadness
4516,joy,0,0,0,0,0,0,not found
4517,love,0.371,0.371,0.401,0.371,0.371,0.371,sadness
4518,fear,0.195,0.195,0.207,0.195,0.195,0.195,sadness
4519,sadness,0.492,0.492,0.533,0.492,0.492,0.492,sadness
4520,sadness,0.286,0.286,0.307,0.286,0.286,0.286,sadness
4521,joy,0.268,0.268,0.287,0.268,0.268,0.268,sadness
4522,joy,0,0,0,0,0,0,not found
4523,love,0.125,0.125,0.133,0.125,0.125,0.125,sadness
4524,sadness,0.578,0.578,0.623,0.578,0.578,0.578,sadness
4525,joy,0.227,0.227,0.244,0.227,0.227,0.227,sadness
4526,love,0.308,0.308,0.333,0.308,0.308,0.308,sadness
4527,fear,0.217,0.217,0.232,0.217,0.217,0.217,sadness
4528,joy,0.301,0.301,0.326,0.301,0.301,0.301,sadness
4529,sadness,0.554,0.625,0.518,0.482,0.554,0.554,love
4530,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4531,joy,0,0,0,0,0,0,not found
4532,joy,0.308,0.308,0.333,0.308,0.308,0.308,sadness
4533,fear,0.233,0.233,0.253,0.233,0.233,0.233,sadness
4534,sadness,0.258,0.258,0.276,0.258,0.258,0.258,sadness
4535,joy,0.239,0.239,0.258,0.239,0.239,0.239,sadness
4536,sadness,0.183,0.183,0.195,0.183,0.183,0.183,sadness
4537,joy,0.28,0.28,0.301,0.28,0.28,0.28,sadness
4538,joy,0.375,0.375,0.406,0.375,0.375,0.375,sadness
4539,fear,0.201,0.201,0.218,0.201,0.201,0.201,sadness
4540,sadness,0.317,0.317,0.344,0.317,0.317,0.317,sadness
4541,love,0.279,0.279,0.3,0.279,0.279,0.279,sadness
4542,sadness,0.396,0.396,0.427,0.396,0.396,0.396,sadness
4543,joy,0.19,0.19,0.202,0.19,0.19,0.19,sadness
4544,fear,0.268,0.268,0.262,0.244,0.268,0.268,anger
4545,love,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4546,sadness,0.356,0.356,0.383,0.356,0.356,0.356,sadness
4547,sadness,0.288,0.288,0.311,0.288,0.288,0.288,sadness
4548,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4549,love,0.23,0.23,0.25,0.23,0.23,0.23,sadness
4550,love,0.118,0.118,0.125,0.118,0.118,0.118,sadness
4551,anger,0.202,0.202,0.217,0.202,0.202,0.202,sadness
4552,joy,0.263,0.263,0.283,0.263,0.263,0.263,sadness
4553,fear,0.216,0.216,0.234,0.216,0.216,0.216,sadness
4554,joy,0.279,0.279,0.3,0.279,0.279,0.279,sadness
4555,joy,0.279,0.279,0.3,0.279,0.279,0.279,sadness
4556,anger,0.5,0.5,0.545,0.5,0.5,0.5,sadness
4557,joy,0.275,0.275,0.296,0.275,0.275,0.275,sadness
4558,surprise,0.245,0.245,0.261,0.245,0.245,0.245,sadness
4559,sadness,0.308,0.308,0.333,0.308,0.308,0.308,sadness
4560,joy,0.234,0.234,0.251,0.234,0.234,0.234,sadness
4561,love,0.181,0.181,0.195,0.181,0.181,0.181,sadness
4562,fear,0.28,0.28,0.302,0.28,0.28,0.28,sadness
4563,sadness,0.3,0.3,0.325,0.3,0.3,0.3,sadness
4564,anger,0.194,0.194,0.209,0.194,0.194,0.194,sadness
4565,anger,0.391,0.391,0.424,0.391,0.391,0.391,sadness
4566,sadness,0.492,0.492,0.532,0.492,0.492,0.492,sadness
4567,sadness,0.192,0.192,0.205,0.192,0.192,0.192,sadness
4568,joy,0.356,0.356,0.383,0.356,0.356,0.356,sadness
4569,sadness,0.261,0.261,0.279,0.261,0.261,0.261,sadness
4570,sadness,0.255,0.255,0.275,0.255,0.255,0.255,sadness
4571,love,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4572,sadness,0,0,0,0,0,0,not found
4573,sadness,0,0,0,0,0,0,not found
4574,joy,0.562,0.5,0.467,0.438,0.5,0.5,anger
4575,sadness,0.327,0.327,0.356,0.327,0.327,0.327,sadness
4576,joy,0.227,0.227,0.242,0.227,0.227,0.227,sadness
4577,fear,0.201,0.201,0.218,0.201,0.201,0.201,sadness
4578,joy,0.339,0.339,0.368,0.339,0.339,0.339,sadness
4579,joy,0.297,0.297,0.32,0.297,0.297,0.297,sadness
4580,anger,0.382,0.361,0.366,0.34,0.361,0.361,anger
4581,joy,0.286,0.286,0.308,0.286,0.286,0.286,sadness
4582,sadness,0.293,0.293,0.318,0.293,0.293,0.293,sadness
4583,joy,0.583,0.583,0.685,0.631,0.583,0.583,sadness
4584,anger,0.404,0.404,0.437,0.404,0.404,0.404,sadness
4585,surprise,0.266,0.266,0.288,0.266,0.266,0.266,sadness
4586,sadness,0.268,0.268,0.287,0.268,0.268,0.268,sadness
4587,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4588,anger,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4589,joy,0.356,0.356,0.383,0.356,0.356,0.356,sadness
4590,sadness,0.329,0.329,0.354,0.329,0.329,0.329,sadness
4591,fear,0.256,0.256,0.273,0.256,0.256,0.256,sadness
4592,sadness,0.143,0.143,0.154,0.143,0.143,0.143,sadness
4593,sadness,0.263,0.263,0.285,0.263,0.263,0.263,sadness
4594,anger,0.268,0.268,0.287,0.268,0.268,0.268,sadness
4595,sadness,0.281,0.281,0.303,0.281,0.281,0.281,sadness
4596,anger,0.194,0.194,0.209,0.194,0.194,0.194,sadness
4597,joy,0.285,0.285,0.31,0.285,0.285,0.285,sadness
4598,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4599,joy,0.226,0.226,0.243,0.226,0.226,0.226,sadness
4600,anger,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4601,fear,0.176,0.176,0.188,0.176,0.176,0.176,sadness
4602,fear,0.268,0.268,0.287,0.268,0.268,0.268,sadness
4603,sadness,0.312,0.312,0.337,0.312,0.312,0.312,sadness
4604,joy,0.268,0.268,0.291,0.268,0.268,0.268,sadness
4605,anger,0.364,0.364,0.4,0.364,0.364,0.364,sadness
4606,joy,0.472,0.472,0.513,0.472,0.472,0.472,sadness
4607,love,0.297,0.297,0.319,0.297,0.297,0.297,sadness
4608,sadness,0.411,0.411,0.443,0.411,0.411,0.411,sadness
4609,sadness,0.286,0.286,0.308,0.286,0.286,0.286,sadness
4610,joy,0.411,0.411,0.441,0.411,0.411,0.411,sadness
4611,joy,0.236,0.236,0.255,0.236,0.236,0.236,sadness
4612,anger,0.833,0.833,0.909,0.833,0.833,0.833,sadness
4613,sadness,0.3,0.3,0.325,0.3,0.3,0.3,sadness
4614,sadness,0.462,0.462,0.5,0.462,0.462,0.462,sadness
4615,joy,0.196,0.196,0.21,0.196,0.196,0.196,sadness
4616,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4617,sadness,0,0,0,0,0,0,not found
4618,joy,0.533,0.533,0.571,0.533,0.533,0.533,sadness
4619,sadness,0.235,0.235,0.25,0.235,0.235,0.235,sadness
4620,sadness,0.833,0.833,0.909,0.833,0.833,0.833,sadness
4621,joy,0.254,0.254,0.271,0.254,0.254,0.254,sadness
4622,sadness,0.279,0.279,0.3,0.279,0.279,0.279,sadness
4623,sadness,0.256,0.256,0.278,0.256,0.256,0.256,sadness
4624,fear,0.355,0.355,0.383,0.355,0.355,0.355,sadness
4625,sadness,0.5,0.5,0.545,0.5,0.5,0.5,sadness
4626,joy,0.388,0.388,0.419,0.388,0.388,0.388,sadness
4627,sadness,0.425,0.425,0.458,0.425,0.425,0.425,sadness
4628,love,0.287,0.287,0.309,0.287,0.287,0.287,sadness
4629,joy,0.257,0.257,0.252,0.237,0.257,0.257,anger
4630,surprise,0.237,0.237,0.254,0.237,0.237,0.237,sadness
4631,anger,0.244,0.244,0.262,0.244,0.244,0.244,sadness
4632,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4633,joy,0.284,0.284,0.306,0.284,0.284,0.284,sadness
4634,sadness,0.484,0.484,0.527,0.484,0.484,0.484,sadness
4635,surprise,0.244,0.244,0.263,0.244,0.244,0.244,sadness
4636,anger,0.292,0.292,0.315,0.292,0.292,0.292,sadness
4637,fear,0.833,0.833,0.909,0.833,0.833,0.833,sadness
4638,anger,0.31,0.31,0.336,0.31,0.31,0.31,sadness
4639,sadness,0.231,0.231,0.25,0.231,0.231,0.231,sadness
4640,love,0,0,0,0,0,0,not found
4641,sadness,0.286,0.286,0.308,0.286,0.286,0.286,sadness
4642,anger,0.401,0.401,0.434,0.449,0.401,0.401,surprise
4643,joy,0.267,0.267,0.286,0.267,0.267,0.267,sadness
4644,joy,0.255,0.255,0.275,0.255,0.255,0.255,sadness
4645,fear,0.238,0.238,0.255,0.238,0.238,0.238,sadness
4646,love,0.315,0.315,0.359,0.315,0.315,0.315,sadness
4647,fear,0.286,0.286,0.308,0.286,0.286,0.286,sadness
4648,surprise,0.287,0.287,0.31,0.287,0.287,0.287,sadness
4649,sadness,0.268,0.268,0.287,0.268,0.268,0.268,sadness
4650,fear,0.424,0.424,0.456,0.424,0.424,0.424,sadness
4651,sadness,0.429,0.429,0.46,0.429,0.429,0.429,sadness
4652,joy,0.182,0.182,0.196,0.182,0.182,0.182,sadness
4653,sadness,0,0,0,0,0,0,not found
4654,joy,0,0,0,0,0,0,not found
4655,joy,0.448,0.448,0.484,0.448,0.448,0.448,sadness
4656,surprise,0.279,0.279,0.3,0.279,0.279,0.279,sadness
4657,anger,0.214,0.214,0.229,0.214,0.214,0.214,sadness
4658,sadness,0,0,0,0,0,0,not found
4659,anger,0.833,0.833,0.909,0.833,0.833,0.833,sadness
4660,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4661,anger,0.272,0.272,0.292,0.272,0.272,0.272,sadness
4662,sadness,0.216,0.216,0.231,0.216,0.216,0.216,sadness
4663,sadness,0.216,0.216,0.233,0.216,0.216,0.216,sadness
4664,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4665,sadness,0,0,0,0,0,0,not found
4666,surprise,0.21,0.21,0.225,0.21,0.21,0.21,sadness
4667,love,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4668,anger,0.319,0.319,0.347,0.319,0.319,0.319,sadness
4669,sadness,0,0,0,0,0,0,not found
4670,fear,0.554,0.554,0.518,0.482,0.554,0.625,fear
4671,joy,0.833,0.833,0.909,0.833,0.833,0.833,sadness
4672,joy,0.288,0.288,0.311,0.288,0.288,0.288,sadness
4673,sadness,0.228,0.228,0.244,0.228,0.228,0.228,sadness
4674,sadness,0.202,0.202,0.217,0.202,0.202,0.202,sadness
4675,sadness,0.308,0.308,0.333,0.308,0.308,0.308,sadness
4676,joy,0.308,0.308,0.333,0.308,0.308,0.308,sadness
4677,joy,0.322,0.322,0.33,0.306,0.338,0.322,joy
4678,sadness,0.258,0.258,0.276,0.258,0.258,0.258,sadness
4679,sadness,0.111,0.111,0.118,0.111,0.111,0.111,sadness
4680,fear,0.416,0.416,0.447,0.416,0.416,0.416,sadness
4681,fear,0.647,0.647,0.705,0.647,0.647,0.647,sadness
4682,fear,0.354,0.354,0.383,0.354,0.354,0.354,sadness
4683,sadness,0.284,0.284,0.306,0.284,0.284,0.284,sadness
4684,anger,0.234,0.234,0.251,0.234,0.234,0.234,sadness
4685,anger,0.377,0.377,0.41,0.377,0.377,0.377,sadness
4686,sadness,0.213,0.213,0.229,0.213,0.213,0.213,sadness
4687,anger,0.333,0.333,0.364,0.333,0.333,0.333,sadness
4688,sadness,0.462,0.462,0.5,0.462,0.462,0.462,sadness
4689,sadness,0.279,0.279,0.3,0.279,0.279,0.279,sadness
4690,sadness,0,0,0,0,0,0,not found
4691,sadness,0.308,0.308,0.333,0.308,0.308,0.308,sadness
4692,joy,0.293,0.293,0.316,0.293,0.293,0.293,sadness
4693,sadness,0.326,0.326,0.356,0.326,0.326,0.326,sadness
4694,surprise,0.184,0.184,0.196,0.184,0.184,0.184,sadness
4695,joy,0.554,0.625,0.518,0.482,0.554,0.554,love
4696,anger,0.335,0.335,0.36,0.335,0.335,0.335,sadness
4697,love,0.424,0.424,0.461,0.424,0.424,0.424,sadness
4698,sadness,0.363,0.363,0.391,0.363,0.363,0.363,sadness
4699,anger,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4700,anger,0,0,0,0,0,0,not found
4701,joy,0.5,0.5,0.545,0.5,0.5,0.5,sadness
4702,joy,0.267,0.267,0.286,0.267,0.267,0.267,sadness
4703,anger,0.199,0.199,0.215,0.199,0.199,0.199,sadness
4704,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4705,sadness,0.262,0.262,0.28,0.262,0.262,0.262,sadness
4706,anger,0.308,0.308,0.333,0.308,0.308,0.308,sadness
4707,sadness,0.271,0.271,0.29,0.271,0.271,0.271,sadness
4708,anger,0.179,0.179,0.191,0.179,0.179,0.179,sadness
4709,sadness,0.448,0.448,0.485,0.448,0.448,0.448,sadness
4710,anger,0.348,0.348,0.375,0.348,0.348,0.348,sadness
4711,joy,0.352,0.352,0.381,0.352,0.352,0.352,sadness
4712,surprise,0.203,0.203,0.218,0.203,0.203,0.203,sadness
4713,surprise,0.133,0.133,0.143,0.133,0.133,0.133,sadness
4714,sadness,0.241,0.241,0.259,0.241,0.241,0.241,sadness
4715,sadness,0.231,0.231,0.25,0.231,0.231,0.231,sadness
4716,fear,0.268,0.268,0.287,0.268,0.268,0.268,sadness
4717,anger,0.244,0.244,0.262,0.244,0.244,0.244,sadness
4718,fear,0.22,0.22,0.236,0.22,0.22,0.22,sadness
4719,joy,0.265,0.265,0.291,0.265,0.265,0.265,sadness
4720,joy,0.308,0.308,0.333,0.308,0.308,0.308,sadness
4721,joy,0.286,0.286,0.308,0.286,0.286,0.286,sadness
4722,joy,0.341,0.341,0.361,0.341,0.341,0.341,sadness
4723,joy,0.276,0.276,0.297,0.276,0.276,0.276,sadness
4724,surprise,0.286,0.286,0.308,0.286,0.286,0.286,sadness
4725,joy,0.272,0.272,0.296,0.272,0.272,0.272,sadness
4726,anger,0.336,0.336,0.363,0.336,0.336,0.336,sadness
4727,sadness,0.42,0.42,0.456,0.42,0.42,0.42,sadness
4728,joy,0.222,0.222,0.241,0.222,0.222,0.222,sadness
4729,fear,0.261,0.261,0.279,0.261,0.261,0.261,sadness
4730,joy,0.297,0.297,0.321,0.297,0.297,0.297,sadness
4731,joy,0.215,0.215,0.232,0.215,0.215,0.215,sadness
4732,joy,0.188,0.188,0.2,0.188,0.188,0.188,sadness
4733,sadness,0.324,0.324,0.35,0.324,0.324,0.324,sadness
4734,fear,0,0,0,0,0,0,not found
4735,sadness,0.714,0.714,0.923,0.714,0.714,0.714,sadness
4736,sadness,0.126,0.126,0.135,0.126,0.126,0.126,sadness
4737,joy,0.433,0.433,0.467,0.433,0.433,0.433,sadness
4738,joy,0,0,0,0,0,0,not found
4739,anger,0.258,0.258,0.276,0.258,0.258,0.258,sadness
4740,sadness,0.635,0.635,0.689,0.635,0.635,0.635,sadness
4741,joy,0.111,0.111,0.118,0.111,0.111,0.111,sadness
4742,joy,0.256,0.256,0.273,0.256,0.256,0.256,sadness
4743,anger,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4744,joy,0.364,0.364,0.4,0.364,0.364,0.364,sadness
4745,sadness,0.423,0.423,0.455,0.423,0.423,0.423,sadness
4746,joy,0.56,0.56,0.608,0.56,0.56,0.56,sadness
4747,sadness,0.482,0.511,0.488,0.453,0.482,0.482,love
4748,joy,0.275,0.275,0.296,0.275,0.275,0.275,sadness
4749,love,0.281,0.281,0.303,0.281,0.281,0.281,sadness
4750,anger,0,0,0,0,0,0,not found
4751,love,0.208,0.208,0.224,0.208,0.208,0.208,sadness
4752,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4753,love,0.375,0.375,0.406,0.375,0.375,0.375,sadness
4754,anger,0.296,0.296,0.317,0.296,0.296,0.296,sadness
4755,anger,0,0,0,0,0,0,not found
4756,anger,0,0,0,0,0,0,not found
4757,fear,0.243,0.243,0.258,0.243,0.243,0.243,sadness
4758,fear,0.322,0.322,0.348,0.322,0.322,0.322,sadness
4759,love,0.304,0.304,0.329,0.304,0.304,0.304,sadness
4760,joy,0,0,0,0,0,0,not found
4761,anger,0.424,0.424,0.456,0.424,0.424,0.424,sadness
4762,joy,0.268,0.268,0.287,0.268,0.268,0.268,sadness
4763,sadness,0.313,0.313,0.34,0.313,0.313,0.313,sadness
4764,joy,0.281,0.281,0.305,0.281,0.281,0.281,sadness
4765,sadness,0.475,0.475,0.517,0.475,0.475,0.475,sadness
4766,anger,0.393,0.393,0.427,0.393,0.393,0.393,sadness
4767,love,0.326,0.326,0.353,0.326,0.326,0.326,sadness
4768,sadness,0.257,0.257,0.277,0.257,0.257,0.257,sadness
4769,sadness,0.339,0.339,0.364,0.339,0.339,0.339,sadness
4770,sadness,0.349,0.349,0.378,0.349,0.349,0.349,sadness
4771,joy,0.571,0.571,0.621,0.571,0.571,0.571,sadness
4772,love,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4773,anger,0,0,0,0,0,0,not found
4774,surprise,0.288,0.288,0.311,0.288,0.288,0.288,sadness
4775,surprise,0.279,0.279,0.3,0.279,0.279,0.279,sadness
4776,love,0.24,0.24,0.258,0.24,0.24,0.24,sadness
4777,sadness,0.31,0.31,0.336,0.31,0.31,0.31,sadness
4778,anger,0.174,0.174,0.187,0.174,0.174,0.174,sadness
4779,sadness,0.157,0.157,0.168,0.157,0.157,0.157,sadness
4780,joy,0.22,0.22,0.235,0.22,0.22,0.22,sadness
4781,sadness,0.297,0.297,0.321,0.297,0.297,0.297,sadness
4782,sadness,0.37,0.37,0.4,0.37,0.37,0.37,sadness
4783,sadness,0.345,0.345,0.373,0.345,0.345,0.345,sadness
4784,sadness,0.307,0.307,0.333,0.307,0.307,0.307,sadness
4785,love,0.333,0.333,0.364,0.333,0.333,0.333,sadness
4786,joy,0.188,0.188,0.202,0.188,0.188,0.188,sadness
4787,sadness,0.269,0.269,0.288,0.269,0.269,0.269,sadness
4788,anger,0.308,0.308,0.333,0.308,0.308,0.308,sadness
4789,joy,0.349,0.349,0.379,0.349,0.349,0.349,sadness
4790,joy,0.217,0.217,0.233,0.217,0.217,0.217,sadness
4791,sadness,0.383,0.401,0.393,0.365,0.383,0.383,love
4792,sadness,0.433,0.433,0.467,0.433,0.433,0.433,sadness
4793,joy,0.3,0.3,0.325,0.3,0.3,0.3,sadness
4794,anger,0.223,0.223,0.242,0.223,0.223,0.223,sadness
4795,fear,0.289,0.289,0.311,0.289,0.289,0.289,sadness
4796,sadness,0.286,0.286,0.309,0.286,0.286,0.286,sadness
4797,love,0.111,0.111,0.118,0.111,0.111,0.111,sadness
4798,love,0.563,0.563,0.61,0.563,0.563,0.563,sadness
4799,anger,0,0,0,0,0,0,not found
4800,joy,0.184,0.184,0.196,0.184,0.184,0.184,sadness
4801,sadness,0.266,0.266,0.288,0.266,0.266,0.266,sadness
4802,surprise,0.286,0.286,0.308,0.286,0.286,0.286,sadness
4803,surprise,0.279,0.279,0.3,0.279,0.279,0.279,sadness
4804,anger,0.265,0.265,0.289,0.265,0.265,0.265,sadness
4805,joy,0,0,0,0,0,0,not found
4806,joy,0.351,0.351,0.376,0.351,0.351,0.351,sadness
4807,surprise,0.378,0.378,0.37,0.345,0.378,0.411,fear
4808,joy,0.275,0.275,0.295,0.275,0.275,0.275,sadness
4809,love,0.217,0.217,0.234,0.217,0.217,0.217,sadness
4810,anger,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4811,joy,0,0,0,0,0,0,not found
4812,sadness,0.216,0.216,0.233,0.216,0.216,0.216,sadness
4813,anger,0.286,0.286,0.308,0.286,0.286,0.286,sadness
4814,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4815,joy,0.188,0.188,0.202,0.188,0.188,0.188,sadness
4816,love,0.246,0.246,0.267,0.246,0.246,0.246,sadness
4817,joy,0.364,0.364,0.395,0.364,0.364,0.364,sadness
4818,sadness,0.356,0.356,0.383,0.356,0.356,0.356,sadness
4819,joy,0.406,0.406,0.413,0.385,0.427,0.406,joy
4820,joy,0.503,0.503,0.546,0.503,0.503,0.503,sadness
4821,love,0.381,0.417,0.371,0.345,0.381,0.381,love
4822,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4823,sadness,0.296,0.296,0.32,0.296,0.296,0.296,sadness
4824,anger,0.257,0.257,0.277,0.257,0.257,0.257,sadness
4825,fear,0.55,0.55,0.597,0.55,0.55,0.55,sadness
4826,joy,0.243,0.243,0.258,0.243,0.243,0.243,sadness
4827,joy,0.356,0.356,0.383,0.356,0.356,0.356,sadness
4828,joy,0,0,0,0,0,0,not found
4829,anger,0.471,0.471,0.5,0.471,0.471,0.471,sadness
4830,surprise,0.234,0.234,0.252,0.234,0.234,0.234,sadness
4831,fear,0.401,0.449,0.379,0.354,0.401,0.401,love
4832,anger,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4833,fear,0.667,0.667,0.727,0.667,0.667,0.667,sadness
4834,fear,0.202,0.202,0.217,0.202,0.202,0.202,sadness
4835,anger,0.724,0.724,0.788,0.724,0.724,0.724,sadness
4836,joy,0.447,0.447,0.483,0.447,0.447,0.447,sadness
4837,anger,0.433,0.433,0.467,0.433,0.433,0.433,sadness
4838,joy,0.217,0.217,0.232,0.217,0.217,0.217,sadness
4839,joy,0.223,0.223,0.239,0.223,0.223,0.223,sadness
4840,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4841,sadness,0.22,0.22,0.235,0.22,0.22,0.22,sadness
4842,anger,0.5,0.5,0.545,0.5,0.5,0.5,sadness
4843,fear,0.433,0.433,0.467,0.433,0.433,0.433,sadness
4844,joy,0.267,0.267,0.286,0.267,0.267,0.267,sadness
4845,joy,0.228,0.228,0.246,0.228,0.228,0.228,sadness
4846,joy,0.49,0.49,0.533,0.49,0.49,0.49,sadness
4847,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4848,joy,0.244,0.244,0.267,0.244,0.244,0.244,sadness
4849,joy,0.254,0.254,0.273,0.254,0.254,0.254,sadness
4850,fear,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4851,sadness,0.298,0.298,0.322,0.298,0.298,0.298,sadness
4852,joy,0.482,0.482,0.518,0.482,0.482,0.482,sadness
4853,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4854,anger,0.366,0.366,0.412,0.366,0.366,0.366,sadness
4855,surprise,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4856,joy,0.262,0.262,0.281,0.262,0.262,0.262,sadness
4857,anger,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4858,surprise,0.499,0.499,0.542,0.499,0.499,0.499,sadness
4859,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4860,surprise,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4861,sadness,0,0,0,0,0,0,not found
4862,sadness,0.236,0.236,0.255,0.236,0.236,0.236,sadness
4863,joy,0.308,0.308,0.333,0.308,0.308,0.308,sadness
4864,sadness,0.273,0.273,0.293,0.273,0.273,0.273,sadness
4865,joy,0.374,0.374,0.404,0.374,0.374,0.374,sadness
4866,surprise,0,0,0,0,0,0,not found
4867,fear,0.833,0.833,0.909,0.833,0.833,0.833,sadness
4868,sadness,0.426,0.426,0.463,0.426,0.426,0.426,sadness
4869,joy,0.214,0.214,0.231,0.214,0.214,0.214,sadness
4870,surprise,0.205,0.205,0.22,0.205,0.205,0.205,sadness
4871,sadness,0.202,0.202,0.217,0.202,0.202,0.202,sadness
4872,sadness,0.275,0.275,0.296,0.275,0.275,0.275,sadness
4873,joy,0.248,0.248,0.267,0.248,0.248,0.248,sadness
4874,joy,0.133,0.133,0.143,0.133,0.133,0.133,sadness
4875,joy,0,0,0,0,0,0,not found
4876,joy,0.307,0.307,0.333,0.307,0.307,0.307,sadness
4877,joy,0.239,0.239,0.258,0.239,0.239,0.239,sadness
4878,anger,0.319,0.319,0.344,0.319,0.319,0.319,sadness
4879,joy,0.188,0.188,0.2,0.188,0.188,0.188,sadness
4880,joy,0.224,0.224,0.243,0.224,0.224,0.224,sadness
4881,love,0.265,0.265,0.284,0.265,0.265,0.265,sadness
4882,sadness,0.213,0.213,0.228,0.213,0.213,0.213,sadness
4883,joy,0.286,0.286,0.308,0.286,0.286,0.286,sadness
4884,joy,0.335,0.335,0.361,0.335,0.335,0.335,sadness
4885,joy,0.188,0.188,0.2,0.188,0.188,0.188,sadness
4886,sadness,0.286,0.286,0.308,0.286,0.286,0.286,sadness
4887,joy,0.55,0.55,0.597,0.55,0.55,0.55,sadness
4888,joy,0.279,0.279,0.3,0.279,0.279,0.279,sadness
4889,sadness,0.476,0.476,0.513,0.496,0.476,0.476,sadness
4890,joy,0.328,0.328,0.355,0.328,0.328,0.328,sadness
4891,sadness,0.364,0.364,0.4,0.364,0.364,0.364,sadness
4892,sadness,0.348,0.348,0.382,0.348,0.348,0.348,sadness
4893,sadness,0.203,0.203,0.217,0.203,0.203,0.203,sadness
4894,sadness,0.138,0.138,0.148,0.138,0.138,0.138,sadness
4895,sadness,0.702,0.702,0.762,0.702,0.702,0.702,sadness
4896,joy,0.279,0.279,0.3,0.279,0.279,0.279,sadness
4897,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4898,love,0.316,0.334,0.321,0.298,0.316,0.316,love
4899,joy,0.35,0.35,0.38,0.35,0.35,0.35,sadness
4900,love,0.29,0.29,0.313,0.29,0.29,0.29,sadness
4901,sadness,0.338,0.338,0.367,0.338,0.338,0.338,sadness
4902,love,0.431,0.431,0.465,0.431,0.431,0.431,sadness
4903,surprise,0.307,0.307,0.333,0.307,0.307,0.307,sadness
4904,anger,0.242,0.242,0.26,0.242,0.242,0.242,sadness
4905,love,0.253,0.253,0.273,0.253,0.253,0.253,sadness
4906,fear,0.506,0.506,0.516,0.477,0.506,0.534,fear
4907,sadness,0,0,0,0,0,0,not found
4908,joy,0.222,0.222,0.235,0.222,0.222,0.222,sadness
4909,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4910,fear,0.667,0.667,0.727,0.667,0.667,0.667,sadness
4911,fear,0.321,0.321,0.344,0.321,0.321,0.321,sadness
4912,fear,0.232,0.232,0.249,0.232,0.232,0.232,sadness
4913,sadness,0,0,0,0,0,0,not found
4914,sadness,0.833,0.833,0.909,0.833,0.833,0.833,sadness
4915,sadness,0.333,0.333,0.364,0.333,0.333,0.333,sadness
4916,fear,0.413,0.413,0.446,0.413,0.413,0.413,sadness
4917,sadness,0.196,0.196,0.21,0.196,0.196,0.196,sadness
4918,sadness,0.444,0.444,0.481,0.444,0.444,0.444,sadness
4919,surprise,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4920,love,0.371,0.371,0.402,0.371,0.371,0.371,sadness
4921,joy,0.275,0.275,0.296,0.275,0.275,0.275,sadness
4922,fear,0.262,0.262,0.282,0.262,0.262,0.262,sadness
4923,anger,0.118,0.118,0.125,0.118,0.118,0.118,sadness
4924,joy,0.226,0.226,0.244,0.226,0.226,0.226,sadness
4925,sadness,0.279,0.279,0.3,0.279,0.279,0.279,sadness
4926,joy,0.349,0.349,0.378,0.349,0.349,0.349,sadness
4927,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
4928,fear,0.258,0.258,0.276,0.258,0.258,0.258,sadness
4929,anger,0.173,0.173,0.184,0.173,0.173,0.173,sadness
4930,anger,0.234,0.234,0.251,0.234,0.234,0.234,sadness
4931,love,0.316,0.316,0.343,0.316,0.316,0.316,sadness
4932,joy,0,0,0,0,0,0,not found
